        Serial No,Test Case Title,Test Case Description,Expected Result,Actual Result,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,To Verify UI of OTP Screen.,"Pre- Requisite: Enter Mobile number and navigate to OTP Page.
OTP bottomsheet should be displayed.
""OTP Verification"" title needs to be displayed.
Verify design according to figma.",Design should be according to figma.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
11,"To verify UI is displayed properly when switched from
Landscape mode to potrait and vice versa.","Pre- Requisite: Enter Mobile number and navigate to OTP Page.
Change orientation from potrait to landscape mode.","Orientation should be Landscape mode.
UI should not be distorted.",,,,,,,,,,,,,,,,,,,,,,
,,Change orientation to Potrait mode again.,"Orientation should be changed to Potrait mode.
UI should not be distorted.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12,"To Verify user should be able to remove OTP by pressing
Back button.","Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. Enter thr OTP in OTP blocks.",Digits should be entered in the blocks.,,,,,,,,,,,,,,,,,,,,,,
,,2. Press back button to remove the last digit.,Last digit should be removed.,,,,,,,,,,,,,,,,,,,,,,
,,3. Enter a new digit in the last block.,Focus will be on last digit.,,,,,,,,,,,,,,,,,,,,,,
,,4. Now move focus to third block and remove the digit by pressing back  button.,"Digit should be removed and foocus should be on third block.
User should be able to erase and add digits easily.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
13,"To Verify proper message is displayed when there is no 
Internet connectivity.","Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. Disable WiFi Connection/Mobile Network.",Proper message needs to be displayed.,,,,,,,,,,,,,,,,,,,,,,
,,2. Once connection is restored. Verify the focus.,"Focus will be on ""Mobile Registration"" page.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,"To Verify Timer on OTP Page should not displayed -ve 
Value.","Pre- Requisite: Enter Mobile number and navigate to OTP Page.
1. Let the timer on OTP expire.
2. Verify in timer no -ve value is displayed.","On timer, once 30 secs is expired. No -ve timer value should be displayed.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
